hash;strengths;weaknesses;complaint;datetime;name;nickname;evaluation_note;date_work;review;recommendation
f9f27df86a033ce20a3ccd9c6eb9fe5927ff0a98c50d8df69562c4068a3a5a22;['amigável', 'bons resultados'];[];[];11/10/24 18:50;Gil do Vigor;@gildovigor;10;jun.-21;"No começo ele é meio tímido, mas vai
se soltando e conquista todo mundo no
set. É empenhado, prestativo e
atencioso. Vale cada centavo cobrado,
pois entrega qualidade e simpatia.";
5628dd09e410311f9197473c51964e72bc71b51a0a1227f236821689e636d3f5;['bons resultados'];['inflexível'];['agenda', 'não segue briefing'];11/11/24 11:44;"Mohamad (ex-
masterchef)";@mohindi;4;2023;"Um caos, simplesmente impossível
conseguir agenda para que ele publique,
não faz uma unidade de entrega fora do
escopo e tivemos que mover toda a
proposta de campanha e entregas para
se encaixar na agenda dele de viagens
e outros compromissos... ele tinha um
contrato de embaixador de marca (o
mais caro do orçamento disponível para
influs, com o mesmo escopo dos com
menor orçamento) e mesmo assim não
fazia qualquer tipo de esforço pra fazer
uma entrega no prazo. Entrega muita
qualidade nos conteúdos, mas muito
estrelinha e difícil de trabalhar,
principalmente considerando o tanto que
cobra.";"Existem outros influenciadores de
gastronomia que tem melhores
resultados, principalmente em
engajamento e conversão, com
um fee bem mais atraente. Fujam
desse moço."
0d01fab8c01ea4081015bdf9d2579d59be509b903614c43ef49e44cbbeac4487;['bons resultados'];[];['problema com a assessoria'];11/11/24 11:52;"Gabriela Bailas (Física e
afins)";@bibibailas;8;abr.-24;"A entrega em si foi boa, entregou o que
foi combinado, único ponto negativo de
estresse foi a assessora que parecia
não fazer ideia de como funciona
trabalhar com influenciador. Passou o ar
de ter colocado uma parente X pra fazer
o trabalho e isso pode ser um pouco
exaustivo. Mas a entrega em si deu
certo e gerou bons resultados!";"Tenha paciência que o conteúdo
será bom, a assessora que é
perdida"
b333c81159de642edd0b5a1e0d7f3a2fa1a96c68b8ca169c2b18a2042376dbe7;[];['rude'];['problema com a assessoria'];11/11/24 14:52;Paola Antonini;@paola_antonini - IG;1;segundo semestre de 2024;"terrível! ela não cumpre prazos e mente
descaradamente sobre as coisas. mas o
pior de tudo é a sua assessora que é
EXTREMAMENTE grossa e arrogante.";"para quem for trabalhar com ela,
tenha muuuuuita antecedência
pra pedir as coisas pois ela atrasa
demais."
41ae6b20b5bdb6eab907c0737d97911fda612692af16644143c1e75a3a46fb3e;['aberto a idéias', 'engajado'];[];[];11/11/24 18:06;Lara Cunha;@pear.lara;9;fev.-24;"Uma grande querida! Traz ideias legais
nas reuniões de briefing, aceita
melhorias e ajustes numa boa e vem
melhorando o conteúdo pras marcas
cada vez mais.";"Precisando de influ de lifestyle pra
público feminino jovem, é ela!"
9118a2f834593ec39c3fe91113a8fb017a540c8e7b05ab00b349c7fd89e02276;[];[];[];11/11/24 18:11;Lucas Barreto;@barretovs - ig;6;2023;"Pressão mais baixa que a minha, era
difícil entregar algo criativo. Mas
acredito que deva ter melhorado.";"Envie o direcional com roteiro já
aprovado na reunião de briefing."
4e98926c9356ac0af837da8ac2816ed5d72829e9b2b2229321c9e42c5d315c81;['bons resultados'];[];[];1/23/25 11:29;Carol Rocha;@tchulim - Instagram;9;mai.-23;"Muito bom! Super criativa, entendeu o
briefing e trouxe sua criatividade para o
conteúdo da marca. O alcance não é
gigante, mas compensa na qualidade da
entrega.";"Vale a pena deixar a criadora ter
espaço para construir sua
narrativa, pois ela sabe o que está
fazendo e domina o conteúdo.
Funciona muito bem também se
considerar suas entregas dentro
da campanha de mídia (o que
deveria ser padrão pra qualquer
ação com criadores, né?)"
dcdb935c8f65f166066640939793e25c6496029019cdfe9456fc31549717c971;[];['dominador'];[];1/23/25 11:29;Blogueirinha;blogueirinha;3;2024;"Desesperador!!! Tudo precisa ser do
jeito da gata e a equipe dela não ajuda
em nada, só complicam ainda mais o
que já foi alinhado e combinado em
briefing. Se for depender dela pra
entregar, esperem algo bem mais ou
menos e se for ter qualquer set com
ela.... Preparem-se pra pagar extra de
locação e equipe.";"Deixem tudo alinhado em
proposta e escopo, tudo mesmo!"
1127d5c097c932b65fda95b37d52dd8912b1e1e94a396c6edda626e84e4b456b;['bons resultados', 'engajado'];[];[];1/23/25 11:29;Vinicius Senno;Vinisenno;10;2024/2025;"EXTRAORDINÁRIO!
O garoto tem uma qualidade impecável
de entrega!
Incrível!! Cumpre prazos!!";"Tem muito engajamento e o
publico é muito real!!
O RETORNO É MUITO BOM
Assessoria e o proprio Vini são
incríveis!!
AMEI trabalhar com eles!"
e55d3598964e531273e6cc5ec5c81821622a072861138983102805b6dd728643;['amigável'];[];[];1/23/25 11:30;Lucas Lima;@lucas.lima;10;2022/2023 e 2024;"ELE É ÓTIMOOO! Se dedica ao roteiro,
veste a camisa da marca e é SUPER
simpático.";Contrateem
