nickname;personality;professional;datetime;name;evaluation_note;date_work;review;recommendation
@gildovigor;positivo;fortemente positivo;11/10/24 18:50;Gil do Vigor;10;jun.-21;"No começo ele é meio tímido, mas vai
se soltando e conquista todo mundo no
set. É empenhado, prestativo e
atencioso. Vale cada centavo cobrado,
pois entrega qualidade e simpatia.";
@mohindi;negativo;negativo;11/11/24 11:44;"Mohamad (ex-
masterchef)";4;2023;"Um caos, simplesmente impossível
conseguir agenda para que ele publique,
não faz uma unidade de entrega fora do
escopo e tivemos que mover toda a
proposta de campanha e entregas para
se encaixar na agenda dele de viagens
e outros compromissos... ele tinha um
contrato de embaixador de marca (o
mais caro do orçamento disponível para
influs, com o mesmo escopo dos com
menor orçamento) e mesmo assim não
fazia qualquer tipo de esforço pra fazer
uma entrega no prazo. Entrega muita
qualidade nos conteúdos, mas muito
estrelinha e difícil de trabalhar,
principalmente considerando o tanto que
cobra.";"Existem outros influenciadores de
gastronomia que tem melhores
resultados, principalmente em
engajamento e conversão, com
um fee bem mais atraente. Fujam
desse moço."
@bibibailas;positivo;positivo;11/11/24 11:52;"Gabriela Bailas (Física e
afins)";8;abr.-24;"A entrega em si foi boa, entregou o que
foi combinado, único ponto negativo de
estresse foi a assessora que parecia
não fazer ideia de como funciona
trabalhar com influenciador. Passou o ar
de ter colocado uma parente X pra fazer
o trabalho e isso pode ser um pouco
exaustivo. Mas a entrega em si deu
certo e gerou bons resultados!";"Tenha paciência que o conteúdo
será bom, a assessora que é
perdida"
@pear.lara;fortemente positivo;positivo;11/11/24 18:06;Lara Cunha;9;fev.-24;"Uma grande querida! Traz ideias legais
nas reuniões de briefing, aceita
melhorias e ajustes numa boa e vem
melhorando o conteúdo pras marcas
cada vez mais.";"Precisando de influ de lifestyle pra
público feminino jovem, é ela!"
blogueirinha;negativo;negativo;1/23/25 11:29;Blogueirinha;3;2024;"Desesperador!!! Tudo precisa ser do
jeito da gata e a equipe dela não ajuda
em nada, só complicam ainda mais o
que já foi alinhado e combinado em
briefing. Se for depender dela pra
entregar, esperem algo bem mais ou
menos e se for ter qualquer set com
ela.... Preparem-se pra pagar extra de
locação e equipe.";"Deixem tudo alinhado em
proposta e escopo, tudo mesmo!"
Vinisenno;fortemente positivo;fortemente positivo;1/23/25 11:29;Vinicius Senno;10;2024/2025;"EXTRAORDINÁRIO!
O garoto tem uma qualidade impecável
de entrega!
Incrível!! Cumpre prazos!!";"Tem muito engajamento e o
publico é muito real!!
O RETORNO É MUITO BOM
Assessoria e o proprio Vini são
incríveis!!
AMEI trabalhar com eles!"
@lucas.lima;fortemente positivo;fortemente positivo;1/23/25 11:30;Lucas Lima;10;2022/2023 e 2024;"ELE É ÓTIMOOO! Se dedica ao roteiro,
veste a camisa da marca e é SUPER
simpático.";Contrateem
@camilaloures;fortemente negativo;fortemente negativo;1/23/25 11:33;Camila Loures;1;2023;"HORRÍVEL. Ela na publi foi a mesma
coisa que nada. Um boneco de posto se
mexendo, roteiro péssimo...";"Gastem seu dinheiro com outra
pessoa"
@brunamarquezine;fortemente negativo;fortemente negativo;1/23/25 11:33;Bruna Marquezine;1;2022;"Mal assessorada, faz apenas o mínimo
e muito mal feito. Não lê brief, faz as
entregas completamente
desorganizadas e amadoras, teve publi
que tava acordado para ser às 20h e ela
subiu de madrugada. A assessoria dela
não responde emails, não se atenta nem
ao período de validade contratual. Não
consegue sequer compreender uma
cláusula simples.";"Não contratem, tem fama mas fica
devendo no profissionalismo e
entregas."
@livia;fortemente negativo;fortemente negativo;1/23/25 11:33;livia nunes;3;2024;"péssima. equipe desorganizada. não
segue briefing e entrega um conteúdo
bem qualquer coisa. além de números
super baixos.";"não contratem. da para pagar
gente muito mais legal com o
valor que ela cobra com entrega e
resultados mtos melhores."
